COD_DISCIPLINA,NOME_DISCIPLINA,COD_TURMA,VAGAS_OFERECIDAS,DIA_SEMANA,HR_INICIO,HR_FIM,TIPO_AULA,COD_CURSO,NOME_UNIDADE,ITEM_TABELA,DIA_ITEM,DT_INICIO_PERIODO,DT_FIM_PERIODO,COD_OPERADOR,NOME_USUARIO,VERSAO_CURSO,CH_TEORICA,CH_PRATICA,CH_ESTAGIO
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,G,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI074,TRAB DE GRADUACAO EM REDES DE COMPUTADORES I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI074,TRAB DE GRADUACAO EM REDES DE COMPUTADORES I,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI074,TRAB DE GRADUACAO EM REDES DE COMPUTADORES I,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI074,TRAB DE GRADUACAO EM REDES DE COMPUTADORES I,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI075,TRAB DE GRADUACAO EM REDES DE COMPUTADORES II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI075,TRAB DE GRADUACAO EM REDES DE COMPUTADORES II,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI075,TRAB DE GRADUACAO EM REDES DE COMPUTADORES II,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI075,TRAB DE GRADUACAO EM REDES DE COMPUTADORES II,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI099,TRABALHO DE GRAD EM INFORMATICA DA EDUCACAO II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,60,60,
